日,コロナ 症状: (日本)
2020-01-16,3
2020-01-17,1
2020-01-18,1
2020-01-19,1
2020-01-20,1
2020-01-21,3
2020-01-22,3
2020-01-23,3
2020-01-24,7
2020-01-25,7
2020-01-26,14
2020-01-27,15
2020-01-28,27
2020-01-29,24
2020-01-30,28
2020-01-31,19
2020-02-01,19
2020-02-02,15
2020-02-03,14
2020-02-04,14
2020-02-05,16
2020-02-06,11
2020-02-07,27
2020-02-08,23
2020-02-09,17
2020-02-10,17
2020-02-11,15
2020-02-12,19
2020-02-13,36
2020-02-14,36
2020-02-15,29
2020-02-16,23
2020-02-17,25
2020-02-18,23
2020-02-19,23
2020-02-20,29
2020-02-21,37
2020-02-22,37
2020-02-23,39
2020-02-24,50
2020-02-25,58
2020-02-26,59
2020-02-27,66
2020-02-28,64
2020-02-29,65
2020-03-01,58
2020-03-02,51
2020-03-03,46
2020-03-04,44
2020-03-05,41
2020-03-06,39
2020-03-07,38
2020-03-08,42
2020-03-09,39
2020-03-10,33
2020-03-11,27
2020-03-12,34
2020-03-13,35
2020-03-14,30
2020-03-15,31
2020-03-16,29
2020-03-17,26
2020-03-18,22
2020-03-19,26
2020-03-20,21
2020-03-21,22
2020-03-22,28
2020-03-23,25
2020-03-24,31
2020-03-25,45
2020-03-26,62
2020-03-27,63
2020-03-28,54
2020-03-29,58
2020-03-30,100
2020-03-31,90
2020-04-01,93
2020-04-02,89
2020-04-03,80
2020-04-04,90
2020-04-05,78
2020-04-06,87
2020-04-07,80
2020-04-08,76
2020-04-09,79
2020-04-10,77
2020-04-11,74
2020-04-12,77
2020-04-13,67
2020-04-14,62
2020-04-15,68
2020-04-16,58
2020-04-17,53
2020-04-18,43
2020-04-19,50
2020-04-20,49
2020-04-21,43
2020-04-22,44
2020-04-23,49
2020-04-24,44
2020-04-25,42
2020-04-26,38
2020-04-27,34
2020-04-28,29
2020-04-29,36
2020-04-30,33
2020-05-01,22
2020-05-02,20
2020-05-03,17
2020-05-04,18
2020-05-05,22
2020-05-06,17
2020-05-07,19
2020-05-08,17
2020-05-09,16
2020-05-10,16
2020-05-11,12
2020-05-12,12
2020-05-13,12
2020-05-14,12
2020-05-15,12
2020-05-16,8
2020-05-17,10
2020-05-18,8
2020-05-19,7
2020-05-20,8
2020-05-21,7
2020-05-22,7
2020-05-23,6
2020-05-24,7
2020-05-25,5
2020-05-26,5
2020-05-27,6
2020-05-28,8
2020-05-29,7
2020-05-30,7
2020-05-31,9
2020-06-01,9
2020-06-02,12
2020-06-03,11
2020-06-04,8
2020-06-05,8
2020-06-06,6
2020-06-07,9
2020-06-08,8
2020-06-09,8
2020-06-10,9
2020-06-11,7
2020-06-12,5
2020-06-13,4
2020-06-14,9
2020-06-15,10
2020-06-16,6
2020-06-17,5
2020-06-18,6
2020-06-19,4
2020-06-20,5
2020-06-21,5
2020-06-22,7
2020-06-23,10
2020-06-24,9
2020-06-25,9
2020-06-26,8
2020-06-27,9
2020-06-28,9
2020-06-29,9
2020-06-30,8
2020-07-01,10
2020-07-02,12
2020-07-03,11
2020-07-04,11
2020-07-05,12
2020-07-06,12
2020-07-07,10
2020-07-08,9
2020-07-09,13
2020-07-10,16
2020-07-11,12
2020-07-12,15
2020-07-13,20
2020-07-14,17
2020-07-15,19
2020-07-16,22
2020-07-17,25
2020-07-18,19
2020-07-19,23
2020-07-20,22
2020-07-21,23
2020-07-22,23
2020-07-23,25
2020-07-24,24
2020-07-25,23
2020-07-26,28
2020-07-27,29
2020-07-28,23
2020-07-29,31
2020-07-30,30
2020-07-31,31
2020-08-01,30
2020-08-02,30
2020-08-03,30
2020-08-04,26
2020-08-05,23
2020-08-06,24
2020-08-07,22
2020-08-08,22
2020-08-09,22
2020-08-10,24
2020-08-11,21
2020-08-12,17
2020-08-13,20
2020-08-14,19
2020-08-15,21
2020-08-16,23
2020-08-17,25
2020-08-18,19
2020-08-19,18
2020-08-20,15
2020-08-21,15
2020-08-22,14
2020-08-23,14
2020-08-24,15
2020-08-25,15
2020-08-26,15
2020-08-27,14
2020-08-28,10
2020-08-29,10
2020-08-30,11
2020-08-31,15
2020-09-01,13
2020-09-02,12
2020-09-03,10
2020-09-04,9
2020-09-05,9
2020-09-06,8
2020-09-07,8
2020-09-08,8
2020-09-09,8
2020-09-10,11
2020-09-11,10
2020-09-12,9
2020-09-13,8
2020-09-14,9
2020-09-15,9
2020-09-16,6
2020-09-17,7
2020-09-18,8
2020-09-19,8
2020-09-20,10
2020-09-21,8
2020-09-22,11
2020-09-23,9
2020-09-24,11
2020-09-25,8
2020-09-26,9
2020-09-27,8
2020-09-28,9
2020-09-29,8
2020-09-30,8
2020-10-01,8
2020-10-02,8
2020-10-03,11
2020-10-04,11
2020-10-05,10
2020-10-06,12
2020-10-07,8
2020-10-08,8
2020-10-09,8
2020-10-10,7
2020-10-11,12
