日,covid19: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,26
2020-02-12,21
2020-02-13,32
2020-02-14,32
2020-02-15,38
2020-02-16,10
2020-02-17,48
2020-02-18,27
2020-02-19,27
2020-02-20,27
2020-02-21,38
2020-02-22,16
2020-02-23,16
2020-02-24,42
2020-02-25,10
2020-02-26,36
2020-02-27,43
2020-02-28,32
2020-02-29,53
2020-03-01,47
2020-03-02,31
2020-03-03,36
2020-03-04,15
2020-03-05,87
2020-03-06,21
2020-03-07,16
2020-03-08,15
2020-03-09,55
2020-03-10,24
2020-03-11,15
2020-03-12,41
2020-03-13,35
2020-03-14,36
2020-03-15,16
2020-03-16,40
2020-03-17,77
2020-03-18,41
2020-03-19,46
2020-03-20,21
2020-03-21,52
2020-03-22,46
2020-03-23,79
2020-03-24,67
2020-03-25,69
2020-03-26,79
2020-03-27,61
2020-03-28,46
2020-03-29,66
2020-03-30,75
2020-03-31,50
2020-04-01,55
2020-04-02,60
2020-04-03,69
2020-04-04,81
2020-04-05,75
2020-04-06,92
2020-04-07,100
2020-04-08,88
2020-04-09,78
2020-04-10,64
2020-04-11,45
2020-04-12,48
2020-04-13,67
2020-04-14,39
2020-04-15,34
2020-04-16,42
2020-04-17,42
2020-04-18,23
2020-04-19,61
2020-04-20,54
2020-04-21,65
2020-04-22,38
2020-04-23,36
2020-04-24,33
2020-04-25,29
2020-04-26,38
2020-04-27,41
2020-04-28,37
2020-04-29,42
2020-04-30,38
2020-05-01,41
2020-05-02,5
2020-05-03,33
2020-05-04,9
2020-05-05,44
2020-05-06,17
2020-05-07,46
2020-05-08,23
2020-05-09,5
2020-05-10,42
2020-05-11,42
2020-05-12,42
2020-05-13,33
2020-05-14,60
2020-05-15,55
2020-05-16,9
2020-05-17,33
2020-05-18,32
2020-05-19,23
2020-05-20,24
2020-05-21,43
2020-05-22,19
2020-05-23,19
2020-05-24,14
2020-05-25,37
2020-05-26,28
2020-05-27,14
2020-05-28,24
2020-05-29,19
2020-05-30,5
2020-05-31,24
2020-06-01,19
2020-06-02,15
2020-06-03,10
2020-06-04,9
2020-06-05,43
2020-06-06,25
2020-06-07,15
2020-06-08,38
2020-06-09,14
2020-06-10,20
2020-06-11,10
2020-06-12,29
2020-06-13,15
2020-06-14,25
2020-06-15,25
2020-06-16,10
2020-06-17,15
2020-06-18,20
2020-06-19,25
2020-06-20,10
2020-06-21,20
2020-06-22,35
2020-06-23,25
2020-06-24,25
2020-06-25,0
2020-06-26,25
2020-06-27,5
2020-06-28,19
2020-06-29,10
2020-06-30,10
2020-07-01,10
2020-07-02,0
2020-07-03,25
2020-07-04,10
2020-07-05,15
2020-07-06,43
2020-07-07,14
2020-07-08,20
2020-07-09,51
2020-07-10,10
2020-07-11,15
2020-07-12,15
2020-07-13,46
2020-07-14,5
2020-07-15,26
2020-07-16,10
2020-07-17,26
2020-07-18,5
2020-07-19,11
2020-07-20,10
2020-07-21,31
2020-07-22,5
2020-07-23,10
2020-07-24,25
2020-07-25,25
2020-07-26,5
2020-07-27,16
2020-07-28,31
2020-07-29,31
2020-07-30,31
2020-07-31,32
2020-08-01,27
2020-08-02,11
2020-08-03,36
2020-08-04,41
2020-08-05,31
2020-08-06,21
2020-08-07,26
2020-08-08,16
2020-08-09,10
2020-08-10,20
2020-08-11,35
2020-08-12,15
2020-08-13,26
2020-08-14,20
2020-08-15,5
2020-08-16,11
2020-08-17,36
2020-08-18,43
2020-08-19,16
2020-08-20,21
2020-08-21,21
2020-08-22,21
2020-08-23,10
2020-08-24,10
2020-08-25,11
2020-08-26,27
2020-08-27,11
2020-08-28,21
2020-08-29,11
2020-08-30,11
2020-08-31,10
2020-09-01,16
2020-09-02,26
2020-09-03,5
2020-09-04,5
2020-09-05,0
2020-09-06,5
2020-09-07,36
2020-09-08,21
2020-09-09,0
2020-09-10,5
2020-09-11,26
2020-09-12,5
2020-09-13,5
2020-09-14,16
2020-09-15,11
2020-09-16,0
2020-09-17,0
2020-09-18,11
2020-09-19,11
2020-09-20,16
2020-09-21,5
2020-09-22,0
2020-09-23,10
2020-09-24,11
2020-09-25,0
2020-09-26,0
2020-09-27,11
2020-09-28,17
2020-09-29,6
2020-09-30,11
2020-10-01,11
2020-10-02,11
2020-10-03,6
2020-10-04,11
2020-10-05,22
2020-10-06,11
2020-10-07,11
2020-10-08,16
2020-10-09,11
2020-10-10,0
2020-10-11,11
