日,pcr検査: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,1
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,2
2020-01-29,1
2020-01-30,4
2020-01-31,3
2020-02-01,3
2020-02-02,2
2020-02-03,1
2020-02-04,4
2020-02-05,4
2020-02-06,4
2020-02-07,3
2020-02-08,2
2020-02-09,3
2020-02-10,4
2020-02-11,10
2020-02-12,8
2020-02-13,16
2020-02-14,9
2020-02-15,4
2020-02-16,4
2020-02-17,6
2020-02-18,5
2020-02-19,6
2020-02-20,8
2020-02-21,8
2020-02-22,10
2020-02-23,11
2020-02-24,15
2020-02-25,27
2020-02-26,30
2020-02-27,23
2020-02-28,27
2020-02-29,27
2020-03-01,12
2020-03-02,22
2020-03-03,15
2020-03-04,20
2020-03-05,20
2020-03-06,21
2020-03-07,15
2020-03-08,10
2020-03-09,19
2020-03-10,15
2020-03-11,19
2020-03-12,17
2020-03-13,12
2020-03-14,13
2020-03-15,15
2020-03-16,19
2020-03-17,20
2020-03-18,16
2020-03-19,12
2020-03-20,10
2020-03-21,6
2020-03-22,10
2020-03-23,16
2020-03-24,13
2020-03-25,15
2020-03-26,26
2020-03-27,21
2020-03-28,20
2020-03-29,19
2020-03-30,34
2020-03-31,26
2020-04-01,43
2020-04-02,47
2020-04-03,50
2020-04-04,32
2020-04-05,34
2020-04-06,62
2020-04-07,43
2020-04-08,55
2020-04-09,59
2020-04-10,44
2020-04-11,37
2020-04-12,58
2020-04-13,57
2020-04-14,50
2020-04-15,59
2020-04-16,84
2020-04-17,65
2020-04-18,39
2020-04-19,44
2020-04-20,52
2020-04-21,45
2020-04-22,52
2020-04-23,56
2020-04-24,45
2020-04-25,35
2020-04-26,49
2020-04-27,62
2020-04-28,56
2020-04-29,40
2020-04-30,51
2020-05-01,35
2020-05-02,41
2020-05-03,34
2020-05-04,43
2020-05-05,45
2020-05-06,48
2020-05-07,49
2020-05-08,59
2020-05-09,29
2020-05-10,50
2020-05-11,40
2020-05-12,39
2020-05-13,32
2020-05-14,30
2020-05-15,23
2020-05-16,19
2020-05-17,19
2020-05-18,21
2020-05-19,17
2020-05-20,17
2020-05-21,17
2020-05-22,13
2020-05-23,9
2020-05-24,16
2020-05-25,16
2020-05-26,16
2020-05-27,15
2020-05-28,13
2020-05-29,22
2020-05-30,14
2020-05-31,10
2020-06-01,22
2020-06-02,27
2020-06-03,24
2020-06-04,26
2020-06-05,18
2020-06-06,12
2020-06-07,18
2020-06-08,27
2020-06-09,17
2020-06-10,11
2020-06-11,20
2020-06-12,14
2020-06-13,5
2020-06-14,14
2020-06-15,19
2020-06-16,16
2020-06-17,18
2020-06-18,14
2020-06-19,13
2020-06-20,9
2020-06-21,9
2020-06-22,14
2020-06-23,16
2020-06-24,17
2020-06-25,14
2020-06-26,17
2020-06-27,11
2020-06-28,13
2020-06-29,25
2020-06-30,16
2020-07-01,20
2020-07-02,36
2020-07-03,35
2020-07-04,24
2020-07-05,27
2020-07-06,31
2020-07-07,34
2020-07-08,34
2020-07-09,50
2020-07-10,53
2020-07-11,28
2020-07-12,48
2020-07-13,60
2020-07-14,62
2020-07-15,64
2020-07-16,73
2020-07-17,77
2020-07-18,47
2020-07-19,45
2020-07-20,69
2020-07-21,60
2020-07-22,66
2020-07-23,66
2020-07-24,55
2020-07-25,50
2020-07-26,51
2020-07-27,77
2020-07-28,86
2020-07-29,99
2020-07-30,96
2020-07-31,100
2020-08-01,67
2020-08-02,78
2020-08-03,93
2020-08-04,81
2020-08-05,76
2020-08-06,79
2020-08-07,75
2020-08-08,54
2020-08-09,49
2020-08-10,67
2020-08-11,80
2020-08-12,49
2020-08-13,56
2020-08-14,49
2020-08-15,48
2020-08-16,39
2020-08-17,55
2020-08-18,46
2020-08-19,53
2020-08-20,61
2020-08-21,41
2020-08-22,27
2020-08-23,32
2020-08-24,46
2020-08-25,51
2020-08-26,48
2020-08-27,58
2020-08-28,48
2020-08-29,21
2020-08-30,21
2020-08-31,43
2020-09-01,37
2020-09-02,35
2020-09-03,37
2020-09-04,29
2020-09-05,21
2020-09-06,13
2020-09-07,29
2020-09-08,27
2020-09-09,29
2020-09-10,29
2020-09-11,27
2020-09-12,18
2020-09-13,16
2020-09-14,27
2020-09-15,31
2020-09-16,34
2020-09-17,25
2020-09-18,22
2020-09-19,16
2020-09-20,16
2020-09-21,14
2020-09-22,19
2020-09-23,26
2020-09-24,29
2020-09-25,26
2020-09-26,18
2020-09-27,14
2020-09-28,31
2020-09-29,25
2020-09-30,23
2020-10-01,23
2020-10-02,25
2020-10-03,9
2020-10-04,20
2020-10-05,27
2020-10-06,27
2020-10-07,25
2020-10-08,27
2020-10-09,24
2020-10-10,16
2020-10-11,12
