日,新型 コロナ ワクチン: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,6
2020-01-21,0
2020-01-22,6
2020-01-23,0
2020-01-24,6
2020-01-25,6
2020-01-26,24
2020-01-27,24
2020-01-28,31
2020-01-29,68
2020-01-30,44
2020-01-31,51
2020-02-01,58
2020-02-02,0
2020-02-03,30
2020-02-04,19
2020-02-05,6
2020-02-06,13
2020-02-07,20
2020-02-08,0
2020-02-09,12
2020-02-10,19
2020-02-11,6
2020-02-12,6
2020-02-13,6
2020-02-14,37
2020-02-15,25
2020-02-16,30
2020-02-17,30
2020-02-18,19
2020-02-19,13
2020-02-20,31
2020-02-21,6
2020-02-22,31
2020-02-23,31
2020-02-24,61
2020-02-25,36
2020-02-26,6
2020-02-27,43
2020-02-28,37
2020-02-29,18
2020-03-01,18
2020-03-02,24
2020-03-03,24
2020-03-04,17
2020-03-05,70
2020-03-06,24
2020-03-07,18
2020-03-08,30
2020-03-09,11
2020-03-10,45
2020-03-11,29
2020-03-12,35
2020-03-13,23
2020-03-14,18
2020-03-15,18
2020-03-16,23
2020-03-17,24
2020-03-18,18
2020-03-19,6
2020-03-20,12
2020-03-21,30
2020-03-22,0
2020-03-23,6
2020-03-24,12
2020-03-25,30
2020-03-26,18
2020-03-27,23
2020-03-28,41
2020-03-29,12
2020-03-30,100
2020-03-31,57
2020-04-01,29
2020-04-02,75
2020-04-03,57
2020-04-04,88
2020-04-05,29
2020-04-06,67
2020-04-07,28
2020-04-08,51
2020-04-09,56
2020-04-10,17
2020-04-11,45
2020-04-12,38
