日,covid19: (日本)
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,9
2020-02-12,22
2020-02-13,31
2020-02-14,14
2020-02-15,18
2020-02-16,8
2020-02-17,22
2020-02-18,22
2020-02-19,32
2020-02-20,18
2020-02-21,14
2020-02-22,9
2020-02-23,35
2020-02-24,44
2020-02-25,13
2020-02-26,21
2020-02-27,35
2020-02-28,27
2020-02-29,35
2020-03-01,18
2020-03-02,30
2020-03-03,26
2020-03-04,59
2020-03-05,30
2020-03-06,30
2020-03-07,13
2020-03-08,13
2020-03-09,28
2020-03-10,24
2020-03-11,21
2020-03-12,25
2020-03-13,26
2020-03-14,35
2020-03-15,31
2020-03-16,25
2020-03-17,43
2020-03-18,39
2020-03-19,21
2020-03-20,26
2020-03-21,27
2020-03-22,64
2020-03-23,41
2020-03-24,59
2020-03-25,53
2020-03-26,70
2020-03-27,72
2020-03-28,69
2020-03-29,55
2020-03-30,100
2020-03-31,33
2020-04-01,59
2020-04-02,46
2020-04-03,58
2020-04-04,51
2020-04-05,58
2020-04-06,73
2020-04-07,79
2020-04-08,65
2020-04-09,49
2020-04-10,57
2020-04-11,54
2020-04-12,40
