日,コロナ 症状: (日本)
2020-01-16,3
2020-01-17,0
2020-01-18,1
2020-01-19,1
2020-01-20,1
2020-01-21,3
2020-01-22,4
2020-01-23,4
2020-01-24,7
2020-01-25,8
2020-01-26,13
2020-01-27,17
2020-01-28,30
2020-01-29,24
2020-01-30,29
2020-01-31,22
2020-02-01,16
2020-02-02,15
2020-02-03,13
2020-02-04,13
2020-02-05,14
2020-02-06,11
2020-02-07,29
2020-02-08,24
2020-02-09,16
2020-02-10,17
2020-02-11,13
2020-02-12,16
2020-02-13,37
2020-02-14,36
2020-02-15,27
2020-02-16,25
2020-02-17,25
2020-02-18,21
2020-02-19,25
2020-02-20,29
2020-02-21,36
2020-02-22,37
2020-02-23,40
2020-02-24,53
2020-02-25,60
2020-02-26,62
2020-02-27,72
2020-02-28,67
2020-02-29,68
2020-03-01,56
2020-03-02,58
2020-03-03,49
2020-03-04,47
2020-03-05,42
2020-03-06,38
2020-03-07,37
2020-03-08,44
2020-03-09,43
2020-03-10,34
2020-03-11,30
2020-03-12,35
2020-03-13,32
2020-03-14,31
2020-03-15,28
2020-03-16,31
2020-03-17,29
2020-03-18,25
2020-03-19,26
2020-03-20,21
2020-03-21,25
2020-03-22,32
2020-03-23,27
2020-03-24,27
2020-03-25,48
2020-03-26,62
2020-03-27,61
2020-03-28,54
2020-03-29,66
2020-03-30,100
2020-03-31,95
2020-04-01,91
2020-04-02,88
2020-04-03,84
2020-04-04,87
2020-04-05,86
2020-04-06,83
2020-04-07,84
2020-04-08,84
2020-04-09,85
2020-04-10,73
2020-04-11,78
2020-04-12,78
